age	weight	height	gender	married	number_of_kids	pet	expenses
25	61.7	121.12	other	FALSE	2	ferret	23.4429948480589
37	63.9	145	man	TRUE	6	dog	96.8368273733753
41	50.2	145.03	woman	TRUE	2	hedgehog	312.676930301564
43	72.4	179.9	man	FALSE	1	dog	447.428382858047
26	78.4	163.91	man	FALSE	1	hedgehog	-78.2279921010282
49	59.4	151.86	woman	TRUE	2	ferret	1241.98262840281
27	67.5	169.31	man	FALSE	1	none	-211.427172585617
49	82.3	179.17	woman	FALSE	0	dog	793.155015974312
38	64.1	138.37	woman	TRUE	5	dog	486.196876067251
33	77.4	193.44	man	FALSE	2	hedgehog	288.446174054907
44	73.1	183.18	man	FALSE	3	hedgehog	636.00162861416
27	84.4	192.4	man	TRUE	4	dog	38.5355073772031
46	63.4	164.44	woman	TRUE	4	none	830.164496411067
45	67.3	143.9	man	FALSE	0	none	786.832261581662
43	59.1	145	man	FALSE	1	none	605.067489595426
39	76.2	162.01	man	TRUE	1	cat	124.942764884309
39	63.2	161.07	man	FALSE	1	dog	499.585404663002
45	84.5	167.12	woman	FALSE	1	none	401.003020223735
66	67.6	163.15	man	FALSE	0	cat	2225.13178661661
31	65.3	155.33	man	FALSE	0	hedgehog	418.15046198986
34	82.3	197.79	woman	TRUE	2	hedgehog	117.859536784272
49	82.4	182.62	woman	TRUE	4	none	817.126637083243
38	57.7	170.62	woman	FALSE	1	cat	176.542551460403
45	38.1	123.72	man	FALSE	1	none	392.367878404028
36	52.1	168.81	man	FALSE	4	none	450.855689502526
33	68.6	151.63	woman	FALSE	1	ferret	438.342359202184
51	72.7	170.02	man	FALSE	1	cat	883.555059933366
35	72.7	152.19	woman	FALSE	0	none	-163.154560464088
32	80.8	165.09	man	TRUE	4	cat	27.1912444674085
30	73.2	166.42	man	FALSE	1	ferret	398.85014174542
38	55.4	158.97	woman	FALSE	0	cat	64.0165037026394
24	86.1	203.77	man	FALSE	2	hedgehog	-199.065133047166
28	70.3	169	man	TRUE	2	ferret	41.9851709710013
47	75.9	161.26	woman	FALSE	0	dog	662.096404371086
37	76.9	145.27	man	TRUE	3	hedgehog	533.719739944701
47	70.1	202.12	woman	FALSE	0	hedgehog	1557.62630294855
39	55.8	161.64	man	FALSE	0	hedgehog	800.230875639612
43	48	150.06	man	TRUE	3	hedgehog	817.370594549978
35	64.9	160.38	man	TRUE	3	hedgehog	299.021617652319
50	61.9	156.31	woman	TRUE	2	none	841.802053764613
41	72.5	175.24	woman	FALSE	2	none	252.120836290929
36	95.9	197.02	man	FALSE	1	cat	408.719442497824
